,station_id,lat,lng,Unnamed: 0,name,station_location,CAR WASH,AIR & WATER,CAR VACUUM,24/7 OPENING HOURS,TOILET,CONVENIENCE STORE,ATM,PARKING FACILITIES,DISABLED TOILET/BABY CHANGE,ALCOHOL,WI-FI,HGV/PSV FUELING,FUELSERVICE,PAYPHONE,RESTAURANT,ELECTRIC CAR CHARGING,REPAIR GARAGE,SHOWER FACILITIES
35,9634,51.26928789999999,-0.3871439,30,BP GUILDFORD ROAD (MFG SHIRLEY),"GUILDFORD ROAD, KT23 4HB",,True,,True,,True,True,,,,,,,,,,True,
36,1321,51.3325435,-0.3565636,6,ESSO HIGH STREET (MFG OXSHOTT),"HIGH STREET, KT22 0JR",True,True,True,True,,True,True,,,,,,,,,,,
37,184,51.29823320000001,-0.3303851,7,BP KINGSTON ROAD (LEATHERHEAD SF CONNECT),"KINGSTON ROAD, KT22 7BL",,,,,,,,,,,,,,,,,,
38,1311,51.34632300000001,-0.4804754000000001,32,JET WEST BYFLEET (MFG OYSTER LANE),"OYSTER LANE, KT14 7JH",True,True,,,,True,,,,,,,True,,,,,
39,1319,51.3733,-0.40589,34,BP HERSHAM ROAD (HKS HALFWAY HOUSE),"HERSHAM ROAD, KT12 5NR",True,True,True,,,True,True,,,True,,,,,,,,
40,2577,51.3360474,-0.5063563,16,ESSO WEST BYFLEET (WEST BYFLEET EXPRESS),"OLD WOKING ROAD, KT14 6JA",,True,,,,True,True,True,,,,,,,,,,
41,3049,51.23766089999999,-0.3246096,37,ESSO LONDON ROAD (RSS PIPPBROOK),"LONDON ROAD, RH4 1JA",True,True,True,True,True,,True,True,,True,,,,,,,,
42,5527,51.2344804,-0.3262643,38,BP DORKING (DORKING SERVICE CENTRE),"REIGATE ROAD, RH4 1SG",True,True,True,True,,True,True,,,True,,,,,,,,
43,9606,51.221117,-0.4498346,39,ESSO STATION ROAD (MFG DOWNSIDE),"STATION ROAD, GU5 9LQ",,,,,,,,,,,,,,,,,,
44,1325,51.386731,-0.386635,19,BP MOLESEY ROAD (MOLESEY SERVICE STATION),"MOLESEY ROAD, KT12 3PW",True,,True,True,,,,,,,True,,,,,,True,
45,5866,51.3226952,-0.5404492,41,JET WOKING (COLLEGE SERVICE STATION),"COLLEGE ROAD, GU22 8BT",True,True,,True,True,True,,,,,True,,,,,,,
46,5248,51.371996,-0.4887124,42,TESCO ADDLESTONE EXTRA,"STATION ROAD, KT15 2AS",True,True,,True,,True,True,True,,,,,,,,,,
47,1306,51.376677,-0.492526,44,SHELL ADDLESTONE (SHELL ADDLESTONE),"CHERTSEY ROAD, KT15 2ED",True,True,True,True,,True,True,,,,True,,,,,True,,
48,1818,51.3099524,-0.2417202,47,TEXACO TATTENHAM CRESCENT (TATTENHAM CORNER SERVICE STATION),"TATTENHAM CRESCENT, KT18 5QJ",,,,,,,,,,,,,,,,,,
49,1819,51.297194,-0.2378789,48,TEXACO SHELVERS HILL (MFG TADWORTH),"SHELVERS HILL, KT20 5PU",,True,,,,True,True,,,,,,,,,,,
50,26230,51.3093164,-0.222075,50,ASDA BURGH HEATH AUTOMAT,"REIGATE ROAD, KT20 5NZ",True,True,True,True,True,True,True,True,True,True,,,,,,True,,True
