,station_id,unleaded,super_unleaded,diesel,premium_diesel,station_unleaded_date,station_super_unleaded_date,station_diesel_date,station_premium_diesel_date
87,7979,142.9,,144.9,153.9,16.10.2021,,16.10.2021,16.10.2021
88,1413,,,145.9,159.9,,,13.10.2021,13.10.2021
89,3,143.9,,146.9,,16.10.2021,,16.10.2021,
90,4,,,,,,,,
91,5,142.9,159.9,,165.9,13.10.2021,12.10.2021,,13.10.2021
92,9,143.9,,147.9,,17.10.2021,,17.10.2021,
93,4435,,,,,,,,
94,1116,139.9,,143.9,,13.10.2021,,13.10.2021,
95,1115,139.9,,144.9,165.9,13.10.2021,,13.10.2021,13.10.2021
96,1119,142.9,,144.9,,17.10.2021,,17.10.2021,
97,3669,,,,156.9,,,,13.10.2021
98,1109,139.9,,144.9,,16.10.2021,,16.10.2021,
99,7188,142.9,153.9,147.9,154.9,17.10.2021,11.10.2021,17.10.2021,11.10.2021
100,1114,142.9,,146.9,,15.10.2021,,15.10.2021,
101,1107,134.9,140.9,137.9,,16.10.2021,15.10.2021,16.10.2021,
102,1111,139.9,,154.0,,13.10.2021,,18.10.2021,
103,26017,138.7,,139.7,,18.10.2021,,18.10.2021,
104,1122,,,,,,,,
105,12366,141.9,,147.9,,18.10.2021,,18.10.2021,
106,7983,139.9,,147.9,147.9,17.10.2021,,17.10.2021,13.10.2021
107,1120,,,142.9,,,,14.10.2021,
108,1121,139.9,,,,17.10.2021,,,
109,11613,140.9,,146.9,,16.10.2021,,16.10.2021,
110,1126,138.9,,139.9,,13.10.2021,,13.10.2021,
111,12513,136.9,,142.9,,18.10.2021,,18.10.2021,
112,1864,136.9,144.9,141.9,154.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
113,10619,151.9,,156.9,167.9,17.10.2021,,17.10.2021,13.10.2021
114,1838,141.9,154.9,149.9,,18.10.2021,13.10.2021,18.10.2021,
115,5657,141.9,,147.9,,17.10.2021,,17.10.2021,
116,165,141.9,,148.9,,14.10.2021,,14.10.2021,
117,1863,147.9,,149.9,,14.10.2021,,14.10.2021,
118,1087,147.9,,149.9,,17.10.2021,,17.10.2021,
119,1084,143.9,,145.9,,13.10.2021,,13.10.2021,
120,1096,140.9,,144.9,,15.10.2021,,15.10.2021,
121,10620,,164.9,155.9,,,13.10.2021,14.10.2021,
122,164,139.9,,143.9,153.9,13.10.2021,,14.10.2021,13.10.2021
123,1089,142.9,156.9,144.9,158.9,14.10.2021,14.10.2021,14.10.2021,14.10.2021
124,169,,,143.9,165.9,,,13.10.2021,13.10.2021
125,163,144.9,,149.9,,18.10.2021,,18.10.2021,
126,1101,,,,,,,,
127,162,147.9,147.9,147.9,,17.10.2021,13.10.2021,17.10.2021,
128,1097,140.9,139.9,144.9,157.9,17.10.2021,14.10.2021,17.10.2021,13.10.2021
129,1091,147.9,,149.9,,14.10.2021,,14.10.2021,
130,168,139.9,139.9,145.9,165.9,18.10.2021,14.10.2021,18.10.2021,13.10.2021
131,2060,137.9,,141.9,,13.10.2021,,13.10.2021,
132,1095,,,141.9,154.9,,,13.10.2021,13.10.2021
133,17726,137.9,143.9,139.9,,14.10.2021,13.10.2021,14.10.2021,
134,4615,142.9,153.9,146.9,,15.10.2021,15.10.2021,15.10.2021,
135,17552,138.9,,139.9,,17.10.2021,,13.10.2021,
136,252,142.9,,147.9,,14.10.2021,,14.10.2021,
137,1092,143.9,,147.9,,13.10.2021,,13.10.2021,
138,3289,143.9,142.9,149.9,,18.10.2021,14.10.2021,18.10.2021,
139,1066,139.9,,145.9,,16.10.2021,,13.10.2021,
140,4627,142.9,149.9,148.9,,13.10.2021,13.10.2021,16.10.2021,
141,1064,139.9,146.9,141.9,,15.10.2021,15.10.2021,15.10.2021,
142,253,,142.9,147.9,,,13.10.2021,14.10.2021,
143,7250,,,,,,,,
144,1093,,,,,,,,
145,1094,,,,159.9,,,,13.10.2021
146,1070,140.9,,144.9,,13.10.2021,,13.10.2021,
147,8108,147.9,,148.9,,13.10.2021,,13.10.2021,
148,1067,140.9,147.9,143.9,159.9,16.10.2021,08.10.2021,14.10.2021,08.10.2021
149,11821,143.9,,145.9,,13.10.2021,,13.10.2021,
150,1073,140.9,140.9,141.9,,13.10.2021,14.10.2021,14.10.2021,
151,3268,143.9,159.9,149.9,165.9,15.10.2021,15.10.2021,15.10.2021,15.10.2021
152,7245,145.9,156.9,149.9,159.9,15.10.2021,13.10.2021,15.10.2021,15.10.2021
153,18185,139.9,,145.9,,15.10.2021,,15.10.2021,
154,12508,147.9,162.9,149.9,164.9,15.10.2021,13.10.2021,15.10.2021,13.10.2021
155,4147,144.9,,147.9,159.9,15.10.2021,,15.10.2021,15.10.2021
156,7540,144.9,,143.9,,18.10.2021,,13.10.2021,
157,9247,140.9,143.9,140.9,,17.10.2021,13.10.2021,13.10.2021,
158,1072,143.9,,145.9,,13.10.2021,,13.10.2021,
159,5654,143.9,,145.9,,18.10.2021,,15.10.2021,
160,5653,141.9,,146.9,165.9,13.10.2021,,13.10.2021,13.10.2021
161,3266,,142.9,147.9,,,14.10.2021,14.10.2021,
162,17457,142.9,,145.9,,13.10.2021,,13.10.2021,
163,4628,,,,,,,,
164,1063,142.9,,143.9,,16.10.2021,,14.10.2021,
165,18037,,,,,,,,
166,2734,142.9,,145.9,,13.10.2021,,14.10.2021,
167,3705,141.9,155.9,145.9,,18.10.2021,16.10.2021,18.10.2021,
168,1331,140.9,,144.9,154.9,13.10.2021,,14.10.2021,13.10.2021
169,1326,139.9,,143.9,165.9,13.10.2021,,13.10.2021,13.10.2021
170,1215,138.9,,140.0,,18.10.2021,,18.10.2021,
171,1236,145.9,,147.9,,13.10.2021,,13.10.2021,
172,1328,139.9,139.9,142.9,,14.10.2021,14.10.2021,14.10.2021,
173,1237,142.9,155.9,144.9,158.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
174,1327,139.9,153.9,142.9,,13.10.2021,13.10.2021,14.10.2021,
175,1210,139.9,,148.9,,16.10.2021,,16.10.2021,
176,1426,142.9,,146.9,159.9,18.10.2021,,18.10.2021,12.10.2021
177,1211,139.9,,149.9,,16.10.2021,,16.10.2021,
178,1427,139.9,,140.9,,18.10.2021,,18.10.2021,
179,17585,137.9,143.9,139.9,,15.10.2021,13.10.2021,15.10.2021,
180,1431,143.9,157.9,146.9,,13.10.2021,13.10.2021,13.10.2021,
181,1432,143.9,,146.9,165.9,13.10.2021,,14.10.2021,13.10.2021
182,1223,139.9,,148.9,,16.10.2021,,16.10.2021,
183,1216,,139.9,145.9,,,14.10.2021,14.10.2021,
184,1225,144.9,,147.9,,13.10.2021,,13.10.2021,
185,1230,141.9,,146.9,,13.10.2021,,13.10.2021,
186,197,,,144.9,158.9,,,13.10.2021,13.10.2021
187,12298,135.9,141.9,142.9,,18.10.2021,18.10.2021,18.10.2021,
188,1434,138.9,,142.9,,14.10.2021,,14.10.2021,
189,1218,131.9,140.9,138.9,,16.10.2021,14.10.2021,13.10.2021,
190,1226,143.9,,147.9,159.9,14.10.2021,,14.10.2021,12.10.2021
191,1895,137.9,143.9,139.9,,18.10.2021,13.10.2021,18.10.2021,
192,3331,,,147.9,,,,14.10.2021,
193,12295,144.9,,,,18.10.2021,,,
194,1227,144.9,,148.9,,18.10.2021,,18.10.2021,
195,17587,137.9,143.9,139.9,,15.10.2021,13.10.2021,15.10.2021,
196,1240,142.9,,147.9,,13.10.2021,,13.10.2021,
197,1436,143.9,156.9,146.9,159.9,15.10.2021,13.10.2021,13.10.2021,13.10.2021
198,199,143.9,,146.9,159.9,13.10.2021,,13.10.2021,13.10.2021
199,1207,137.9,,142.9,,13.10.2021,,13.10.2021,
200,1358,,142.9,146.9,,,14.10.2021,14.10.2021,
201,1366,143.9,143.9,146.9,,17.10.2021,14.10.2021,14.10.2021,
202,1365,136.9,144.9,143.9,,16.10.2021,16.10.2021,18.10.2021,
203,1363,144.9,158.9,146.9,159.9,18.10.2021,16.10.2021,18.10.2021,16.10.2021
204,1374,144.9,151.9,147.9,,17.10.2021,13.10.2021,13.10.2021,
205,1382,143.9,156.9,146.9,159.9,16.10.2021,16.10.2021,16.10.2021,16.10.2021
206,205,143.9,155.9,146.9,158.9,16.10.2021,16.10.2021,16.10.2021,16.10.2021
207,7254,142.9,,144.9,157.9,15.10.2021,,15.10.2021,14.10.2021
208,18398,138.9,,139.9,,13.10.2021,,13.10.2021,
209,80,140.9,,143.9,,14.10.2021,,14.10.2021,
210,208,136.9,,142.9,,17.10.2021,,17.10.2021,
211,1362,141.9,139.9,145.9,,18.10.2021,14.10.2021,18.10.2021,
212,1369,142.9,,143.9,156.9,13.10.2021,,13.10.2021,13.10.2021
213,8079,140.9,,144.9,,14.10.2021,,14.10.2021,
214,1423,142.9,,145.9,,18.10.2021,,18.10.2021,
215,81,,,,,,,,
216,8080,,139.9,,,,13.10.2021,,
217,1412,139.9,,,159.9,13.10.2021,,,12.10.2021
218,1870,135.9,,138.9,,15.10.2021,,15.10.2021,
219,1179,138.9,,141.9,155.9,13.10.2021,,13.10.2021,13.10.2021
220,1178,136.9,,141.9,,13.10.2021,,13.10.2021,
