,name,station_id,station_location,CAR WASH,AIR & WATER,CAR VACUUM,24/7 OPENING HOURS,TOILET,CONVENIENCE STORE,ATM,PARKING FACILITIES,DISABLED TOILET/BABY CHANGE,ALCOHOL,WI-FI,HGV/PSV FUELING,FUELSERVICE,PAYPHONE,RESTAURANT,ELECTRIC CAR CHARGING,REPAIR GARAGE,SHOWER FACILITIES
58,SAINSBURYS NORTH CHEAM,12511,"LONDON ROAD, SM3 9AA",True,True,True,,True,True,True,True,True,True,True,True,True,,,,,
59,SHELL SUTTON (SHELL SUTTON),1421,"CHEAM ROAD, SM1 2SS",True,True,True,,,True,,,,,,,,,,,,
60,BP BRIGHTON ROAD (MFG SUTTON COURT SERVICE STATION),1419,"BRIGHTON ROAD, SM2 5BN",True,,,,,,,,,,,,,,,,,
61,ESSO SUTTON (NORTH CHEAM EXPRESS),1379,"LONDON ROAD, SM3 9BY",,True,,,,True,True,,,True,,,,,,,,
62,TESCO SUTTON CHEAM EXTRA,12514,"OLDFIELDS ROAD, SM1 2NB",True,True,True,True,True,True,,,,,,True,True,,,,,
63,ESSO CHIPSTEAD VALLEY ROAD (MFG COULSDON),1828,"CHIPSTEAD VALLEY ROAD, CR5 3BR",True,True,True,,,,True,,,True,,,,,,,,
64,BP BANSTEAD (HIGHFIELD SF CONNECT),1827,"BRIGHTON ROAD, SM7 1AZ",,,,,,True,True,True,,True,,,,,,,,
65,SHELL BUCKLAND (SHELL BUCKLAND),4431,"REIGATE ROAD, RH3 7ET",True,True,True,,True,True,True,True,,,,True,,,,,,
66,TEXACO BRIGHTON ROAD (PARK MOGADOR SERVICE STATION),1821,"BRIGHTON ROAD, KT20 6SU",True,True,True,True,,True,True,,,,,,True,,,,,
67,BP TADWORTH (OAK TREE SF CONNECT),1824,"BRIGHTON ROAD, KT20 6SY",True,True,,True,,True,True,,,True,,,,,,,,
68,SHELL TADWORTH (SHELL OXFORD HOUSE),1823,"BRIGHTON ROAD, KT20 6UP",,True,,,True,,,True,True,True,True,,,,,,,
69,ESSO REIGATE (RSS REIGATE MANOR),19,"REIGATE HILL, RH2 9PD",,True,,True,,,True,,,True,,,,,,,,
70,BP ST DUNSTANS HILL (ST DUNSTANS SERVICE STATION),1385,"ST DUNSTANS HILL, SM1 2LW",True,True,True,True,,True,True,,,,,,,,,,,
71,BP COULSDON (STAR LANE SERVICE CENTRE),1830,"BRIGHTON LANE, CR5 3EE",,,,,,True,,,,,,,,,,,,
72,ESSO BRIGHTON ROAD (RSS HOOLEY),1831,"BRIGHTON ROAD, CR5 3EG",,True,,True,,True,,,,True,,,,,,,,
73,ESSO HIGH STREET (MFG MERSTHAM),18,"HIGH STREET, RH1 3EA",,,,,,,,,,,,,,,,,,
74,TESCO PURLEY EXTRA,172,"PURLEY ROAD, CR8 2HA",True,True,,True,True,True,True,True,True,True,True,,,,,,True,
75,BP CARSHALTON ROAD (CAMBRIDGE ROAD SF CONNECT),5579,"CARSHALTON ROAD, SM5 3QB",True,True,True,,True,True,True,,,True,,,,,,,,
76,BP WHYTELEAFE (GODSTONE ROAD SF CONNECT),1,"GODSTONE ROAD, CR3 0EG",True,True,True,True,True,True,True,,True,True,,,,,,True,,
77,BP GREEN WRYTHE LANE (WRYTHE SF CONNECT),1414,"GREEN WRYTHE LANE, SM5 2DR",,True,,,,True,True,True,,,,,,,,,,
78,ESSO PURLEY WAY (PURLEY WAY SERVICE STATION),1110,"PURLEY WAY, CR0 4RE",,True,True,True,True,True,True,,,True,,,,,,,,
79,ESSO LONDON ROAD (MFG GATTON POINT),17,"LONDON ROAD, RH1 2JH",,,,True,,True,,,,,,,,,,,,
80,SHELL COULSDON (SHELL OLD COULSDON),1833,"COULSDON ROAD, CR5 1EN",,True,,,True,True,,,,True,,,,,,True,,
81,SHELL PURLEY (MFG FOXLEY),170,"GODSTONE ROAD, CR8 2DB",,True,True,True,,True,True,,,,,,,,,,,
82,BP REDHILL (HILLSIDE SF CONNECT),23,"BRIGHTON ROAD, RH1 6QS",True,True,True,,True,True,True,,,True,,,True,,,,,
83,SHELL WALLINGTON (SHELL BUDGENS WALLINGTON),176,"MANOR ROAD, SM6 0DW",True,True,,,,True,,,,,,,,,,,,
84,ESSO CATERHAM (MFG TOWNEND),1832,"TOWNEND, CR3 5UG",True,True,,True,True,True,True,True,,True,,,,,,,True,
85,TEXACO CATERHAM (ELITE GARAGES CATERHAM),4982,"HIGH STREET, CR3 5UF",,,,,,True,True,,,True,,,,,,,,
86,ESSO PURLEY (MFG HAYLING DOWN),171,"BRIGHTON ROAD, CR8 2BA",,,,,,,,,,,,,,,,,,
87,BP REIGATE (WOODHATCH SERVICE STATION),7979,"DOVER GREEN ROAD, RH2 8BS",,,,,,True,,,,,,,True,,,,,
88,SHELL CARSHALTON (SHELL ST HELIER),1413,"WRYTHE LANE, SM5 2RU",,True,,,,True,True,,,True,,,,,,True,,
89,SHELL WHYTELEAFE (SHELL WAITROSE WHYTELEAFE),3,"GODSTONE ROAD, CR3 0BB",,True,True,True,True,True,True,True,,True,,,True,,,True,,
90,UNBRANDED CATERHAM (GRIFFIN),4,"CROYDON ROAD, CR3 6PN",,,,,,,,,,,,,,,,,,True
91,ESSO WARLINGHAM (MFG WARLINGHAM),5,"LIMPSFIELD ROAD, CR6 9LA",True,True,True,,,True,True,,,,,,,,,,,
92,SHELL LIMPSFIELD ROAD (SHELL SANDERSTEAD),9,"LIMPSFIELD ROAD, CR2 9LE",True,,True,,,True,,,,,,,,,,,,
93,SHELL GODSTONE HILL (SHELL GODSTONE),4435,"GODSTONE HILL, RH9 8AJ",,True,,True,True,True,True,True,,True,True,,,,,,,
94,SHELL BRIGHTON ROAD (BRIGHTON ROAD SERVICE STATION),1116,"BRIGHTON ROAD, CR2 6AJ",,,,,,True,,,,,,,,,,,,
95,ESSO BRIGHTON ROAD (MFG WHITGIFT),1115,"BRIGHTON ROAD, CR2 6EE",,True,,,,True,True,,,,,,,,,,,
96,ESSO SELSDON PARK ROAD (RSS FORESTDALE),1119,"SELSDON PARK ROAD, CR2 8JT",,,,,,,,,,,,,,,,,,
97,SHELL PARKWAY (SHELL CROYDON),3669,"PARKWAY, CR0 0LA",,True,,,True,,,True,True,,,,True,,,,,
98,ESSO PURLEY WAY (MFG WADDON COURT),1109,"PURLEY WAY, CR0 4NX",True,True,,,,True,True,,,,,,,,,,,
99,SHELL OXTED (SHELL OXTED),7188,"CHURCH LANE, RH8 9NB",True,True,,True,True,True,,True,True,True,True,,,,,,True,
100,BP BEDDINGTON LANE (BEDDINGTON LANE SERVICE STATION),1114,"BEDDINGTON LANE, CR0 4TJ",True,,,,,,,,,,,,,,,,,
