,name,station_id,station_location,lat,lng,unleaded,super_unleaded,diesel,premium_diesel,station_unleaded_date,station_super_unleaded_date,station_diesel_date,station_premium_diesel_date
80,BP WHYTELEAFE (GODSTONE ROAD SF CONNECT),1,"GODSTONE ROAD, CR3 0EG",51.3134521,-0.0819078999999999,143.9,,145.9,,16.10.2021,,16.10.2021,
81,BP REIGATE (WOODHATCH SERVICE STATION),7979,"DOVER GREEN ROAD, RH2 8BS",51.22366,-0.199526,142.9,,144.9,153.9,16.10.2021,,16.10.2021,16.10.2021
82,SHELL WHYTELEAFE (SHELL WAITROSE WHYTELEAFE),3,"GODSTONE ROAD, CR3 0BB",51.3041753,-0.0771674,143.9,,146.9,,16.10.2021,,16.10.2021,
83,ESSO PURLEY WAY (PURLEY WAY SERVICE STATION),1110,"PURLEY WAY, CR0 4RE",51.3642362,-0.11856,137.9,147.9,141.9,149.9,16.10.2021,08.10.2021,16.10.2021,08.10.2021
84,BP CARSHALTON ROAD (CAMBRIDGE ROAD SF CONNECT),5579,"CARSHALTON ROAD, SM5 3QB",51.3628724,-0.1719899,,,149.9,,,,14.10.2021,
85,BP REDHILL (HILLSIDE SF CONNECT),23,"BRIGHTON ROAD, RH1 6QS",51.235003,-0.1704445,,,143.9,154.9,,,14.10.2021,13.10.2021
86,SHELL WALLINGTON (SHELL BUDGENS WALLINGTON),176,"MANOR ROAD, SM6 0DW",51.3620348,-0.1509446,143.9,,147.9,,13.10.2021,,13.10.2021,
87,ESSO PURLEY (MFG HAYLING DOWN),171,"BRIGHTON ROAD, CR8 2BA",51.344925,-0.105614,139.9,151.9,144.9,,13.10.2021,09.10.2021,14.10.2021,
88,BP GREEN WRYTHE LANE (WRYTHE SF CONNECT),1414,"GREEN WRYTHE LANE, SM5 2DR",51.37216,-0.16685,144.9,,145.9,157.9,13.10.2021,,14.10.2021,13.10.2021
89,SHELL CARSHALTON (SHELL ST HELIER),1413,"WRYTHE LANE, SM5 2RU",51.3752447,-0.177376,,,145.9,159.9,,,13.10.2021,13.10.2021
90,UNBRANDED CATERHAM (GRIFFIN),4,"CROYDON ROAD, CR3 6PN",51.29541580000001,-0.0713287,,,,,,,,
91,ESSO WARLINGHAM (MFG WARLINGHAM),5,"LIMPSFIELD ROAD, CR6 9LA",51.3090523,-0.0547596999999999,142.9,159.9,,165.9,13.10.2021,12.10.2021,,13.10.2021
92,SHELL LIMPSFIELD ROAD (SHELL SANDERSTEAD),9,"LIMPSFIELD ROAD, CR2 9LE",51.332304,-0.0756216,143.9,,147.9,,17.10.2021,,17.10.2021,
93,SHELL BRIGHTON ROAD (BRIGHTON ROAD SERVICE STATION),1116,"BRIGHTON ROAD, CR2 6AJ",51.3521124,-0.0987832,139.9,,143.9,,13.10.2021,,13.10.2021,
