,name,station_id,station_location
159,BP HADLOW ROAD EAST (THREE ELMS SERVICE STATION),3266,"HADLOW ROAD EAST, TN11 0AB"
160,SHELL LONGFIELD (LONGFIELD FILLING STATION),17457,"STATION ROAD, DA3 7QD"
161,SAINSBURYS TONBRIDGE,9247,"ANGEL LANE, TN9 1SF"
162,SHELL QUARRY HILL (SHELL TONBRIDGE),4628,"QUARRY HILL, TN9 2SA"
163,BP EDGINGTON WAY (BYPASS SF CONNECT),1063,"EDGINGTON WAY, DA14 5AD"
164,MURCO BEXLEY (JOYDENS WOOD SERVICE STATION),1072,"SUMMERHOUSE DRIVE, DA5 2ES"
165,PACE TONBRIDGE (FORGE GARAGE),18037,"HIGH STREET, TN11 8BU"
166,BP WEST MALLING (PARKFOOT GARAGE),2734,"LONDON ROAD, ME19 5AE"
167,SHELL HAWLEY ROAD (SHELL HAWLEY),3705,"HAWLEY ROAD, DA1 1PU"
168,BP SUNBURY (KEMPTON PARK SF CONNECT),1331,"STAINES ROAD EAST, TW16 5AW"
169,SHELL EAST MOLESEY (MFG PARKHURST),1326,"HURST ROAD, KT8 1SE"
170,TESCO SUNBURY EXTRA,1215,"STAINES ROAD WEST, TW16 7BB"
171,TEXACO FELTHAM (PARK FELTHAM HILL SERVICE STATION),1236,"SNAKEY LANE, TW13 7ND"
172,ESSO EAST MOLESEY (MFG PALACE),1328,"HAMPTON COURT ROAD, KT8 9BW"
173,SHELL FELTHAM (SHELL SUNBURY),1237,"COUNTRY WAY, TW13 6QN"
174,BP EAST MOLESEY (HAMPTON COURT SF CONNECT),1327,"HAMPTON COURT WAY, KT8 9AE"
175,ESSO STAINES ROAD WEST (MFG HERDS GARAGE),1210,"STAINES ROAD WEST, TW15 1RZ"
176,ESSO HOUNSLOW ROAD (MFG JOLLY SAILOR),1426,"HOUNSLOW ROAD, TW13 6QA"
177,BP STAINES ROAD WEST (ASHFORD SF CONNECT),1211,"STAINES ROAD WEST, TW15 1RA"
178,SAINSBURYS ST CLARES,1427,"UXBRIDGE ROAD, TW12 1AW"
179,TESCO FELTHAM,17585,"HIGH STREET, TW13 4EX"
180,SHELL STAINES ROAD (SHELL HOSPITAL BRIDGE),1431,"STAINES ROAD, TW2 5JA"
181,GULF FELTHAM (BEDFONT LANE SERVICE STATION),12295,"BEDFONT LANE, TW14 9NJ"
182,ESSO TWICKENHAM (MFG STAINES ROAD),1432,"STAINES ROAD, TW2 5AW"
183,SHELL ASHFORD (SHELL ASHFORD MANOR),1223,"FORDBRIDGE ROAD, TW15 3RX"
184,BP CHERTSEY (CHERTSEY SERVICE STATION),1216,"BRIDGE ROAD, KT16 8LA"
185,ESSO STAINES ROAD (MFG BEDFONT),1227,"STAINES ROAD, TW14 8PA"
186,ESSO CLOCKHOUSE LANE (CLOCKHOUSE SERVICE STATION),1225,"CLOCKHOUSE LANE, TW14 8RD"
187,JET FELTHAM (BARBERBRIDGE SERVICE STATION),1230,"STAINES ROAD, TW14 0HW"
188,TESCO FELTHAM DUKES GREEN,17587,"DUKES GREEN AVENUE, TW14 0LT"
189,SHELL RICHMOND ROAD (SHELL KINGSTONIAN),197,"RICHMOND ROAD, KT2 5HD"
190,TESCO ASHFORD MIDDLESEX,12298,"TOWN LANE, TW19 7PZ"
191,BP KINGSTON-UPON-THAMES (HAM CROSS SERVICE STATION),1434,"RICHMOND ROAD, KT2 5QU"
192,ESSO STAINES ROAD (MFG HOUNSLOW),1240,"STAINES ROAD, TW4 5BD"
193,SAINSBURYS CHERTSEY,1218,"HERIOT ROAD, KT16 9AG"
194,SHELL RICHMOND ROAD (SHELL OAK LANE),1436,"RICHMOND ROAD, TW1 3AB"
195,BP FELTHAM (MFG HATTON CROSS),1226,"GREAT SOUTH WEST ROAD, TW14 0PR"
196,TESCO TWICKENHAM EXTRA,1895,"MOGDEN LANE, TW7 7JY"
197,SHELL LONDON ROAD (SHELL KINGSTON HILL),199,"LONDON ROAD, KT2 6PQ"
198,ESSO BEDFONT ROAD (MFG STANWELL),3331,"BEDFONT ROAD, TW19 7LU"
199,SHELL STAINES (SHELL STAINES),1207,"LONDON ROAD, TW18 4HN"
200,BP NEW MALDEN (MFG ROSE COTTAGE),1358,"KINGSTON ROAD, KT3 3NS"
201,ESSO ROBIN HOOD WAY (MFG ROBIN HOOD NORTH),1366,"ROBIN HOOD WAY, SW20 0AB"
202,ESSO NEW MALDEN (MFG KINGSTON),1362,"MALDEN WAY, KT3 6HF"
203,TESCO NEW MALDEN EXTRA,1365,"BEVERLEY WAY, KT3 4PJ"
204,SHELL WORPLE ROAD (SHELL PEPYS CORNER),1363,"WORPLE ROAD, SW20 8RE"
205,CO-OP ROEHAMPTON VALE,1374,"ROEHAMPTON VALE, SW15 3DX"
206,SHELL MORDEN (SHELL SOUTH MERTON),1382,"MARTIN WAY, SM4 4AW"
207,BP KINGSTON ROAD (WIMBLEDON CHASE SF CONNECT),205,"KINGSTON ROAD, SW20 8LR"
208,SHELL SHEEN ROAD (SHELL BLACKHORSE),7254,"SHEEN ROAD, TW9 1XD"
209,SHELL ROEHAMPTON LANE (SHELL WAITROSE ROEHAMPTON),1369,"ROEHAMPTON LANE, SW15 4LB"
