,name,station_id,station_location,lat,lng
56,SHELL EPSOM (SHELL ETWELLE),1388,"EWELL BYPASS, KT17 2PU",51.35452309999999,-0.2467904
57,BP LONDON ROAD (EWELL SF CONNECT),1387,"LONDON ROAD, KT17 2PT",51.35448830000001,-0.2448898
58,SHELL TADWORTH (SHELL OXFORD HOUSE),1823,"BRIGHTON ROAD, KT20 6UP",51.2679744,-0.20807
59,SHELL EWELL (KINGSTON ROAD SERVICE STATION),1389,"KINGSTON ROAD, KT19 0SH",51.36427219999999,-0.258091
60,ESSO REIGATE (RSS REIGATE MANOR),19,"REIGATE HILL, RH2 9PD",51.2500815,-0.202269
61,ESSO CHEAM (CHEAM EXPRESS),1386,"MALDEN ROAD, SM3 8HB",51.3610931,-0.2176894
62,BP ST DUNSTANS HILL (ST DUNSTANS SERVICE STATION),1385,"ST DUNSTANS HILL, SM1 2LW",51.3649307,-0.2140643
63,SAINSBURYS NORTH CHEAM,12511,"LONDON ROAD, SM3 9AA",51.3728248,-0.2247965
64,ESSO SUTTON (NORTH CHEAM EXPRESS),1379,"LONDON ROAD, SM3 9BY",51.3755835,-0.2226046
65,TESCO SUTTON CHEAM EXTRA,12514,"OLDFIELDS ROAD, SM1 2NB",51.3750386,-0.2066696
66,BP BANSTEAD (HIGHFIELD SF CONNECT),1827,"BRIGHTON ROAD, SM7 1AZ",51.3171487,-0.2113205
67,ESSO SURBITON (TOLWORTH EXPRESS),1355,"THE BROADWAY, KT6 7DQ",51.3819423,-0.2835743
68,SHELL SUTTON (SHELL SUTTON),1421,"CHEAM ROAD, SM1 2SS",51.361303,-0.2002391
69,BP BRIGHTON ROAD (MFG SUTTON COURT SERVICE STATION),1419,"BRIGHTON ROAD, SM2 5BN",51.35753,-0.19165
70,BP COULSDON (STAR LANE SERVICE CENTRE),1830,"BRIGHTON LANE, CR5 3EE",51.2933225,-0.1541707
